Code Phrase,*Number or date,*Letter,*Playing Card Value,"*Object, item, or clothes","*Object, item, or clothes when a lady, girl, or woman is mentioned",*Man's Name,*Lady's Name,*Country,*State,*City,*Gem,*Household Article,*Month,*Day,*Year,*Color,*Material,*Value of Coin,*Paper Currency,*Hour,*Minute
ALL RIGHT ARE,44,N,Four of Diamonds,Tie Clip,Lipstick,,,,New Jersey,,,,,,1944,,Narcissus,,,,:44
ALL RIGHT GIVE,45,O,Five of Diamonds,,Makeup Bag,,,,Oklahoma,,,,,Oboe,1945,,Oxalis,,,,:45
ALL RIGHT SAY,46,P,Six of Diamonds,,Moisturizer,,,,Phillippines,,,,,Piano,1946,,Pansy,,,,:46
ALL RIGHT NAME,47,Q,Seven of Diamonds,,Nail File,,,,,,,,,,1947,,,,,,:47
ALL RIGHT SEE,48,R,Eight of Diamonds,,Pepper Spray,,,,,,,,,Reed,1948,,Rose,,,,:48
ALL RIGHT TELL,49,S,Nine of Diamonds,,Perfume,,,,South Dakota,,,,,Saxophone,1949,,Sunfloer,,,,:49
ALL RIGHT NOW TRY,50,T,,,Purse,,,,Texas,,,,,Trombone,1950,,Tistle,half-dollar,$50 ,,:50
ALL RIGHT NOW CAN,51,U,,,Safety Pins,,,,,,,,,Ukelele,1951,,Umbrella Plant,,,,:51
ALL RIGHT NOW THINK,52,V,,,Tampons/Pads,,,,Vermont,,,,,Violin,1952,,Verbena,,,,:52
ALL RIGHT NOW GUESS,53,W,,,,,,,Wisconsin,,,,,,1953,,,,,,:53
ALL RIGHT NOW ARE,54,X,,,,,,,,,,,,Xylophone,1954,,,,,,:54
ALL RIGHT NOW GIVE,55,Y,,,,,,,,,,,,,1955,,Yellow Flag,,,,:55
ALL RIGHT NOW SAY,56,Z,,,,,,,,,,,,,1956,,Zinnia,,,,:56
ALL RIGHT NOW NAME,57,,,,,,,,,,,,,,1957,,,,,,:57
ALL RIGHT NOW SEE,58,,,,,,,,,,,,,,1958,,,,,,:58
ALL RIGHT NOW TELL,59,,,,,,,,,,,,,,1959,,,,,,:59
ALL RIGHT PLEASE TRY,60,,,,,,,,*Holiday,*Animal,*Dog Breed,*Bird,,,1960,,,,,,
ALL RIGHT PLEASE CAN,61,A,,,,,,,April Fool's Day,Antelope,Afghan Hound,,,,1961,,,,,,
ALL RIGHT PLEASE THINK,62,B,,,,,,,Black Friday,Bar,Bulldog,Bluebird,,,1962,,,,,,
ALL RIGHT PLEASE GUESS,63,C,,,,,,,Columbus Day,Coyote,Collie,Chickadee,,,1963,,,,,,
ALL RIGHT PLEASE ARE,64,D,,,,,,,Dr. Martin Luther King Jr. Day,Deer,Dalmation,Duck,,,1964,,,,,,
ALL RIGHT PLEASE GIVE,65,E,,,,,,,Easter,Elephant,English Setter,Eagle,,,1965,,,,,,
ALL RIGHT PLEASE SAY,66,F,,,,,,,Father's Day,Fox,Fox Terrier,Falcon,,,1966,,,,,,
ALL RIGHT PLEASE NAME,67,G,,,,,,,Groundhog Day,Grizzly,Greyhound,Grouse,,,1967,,,,,,
ALL RIGHT PLEASE SEE,68,H,,,,,,,Halloween,yena,Hound,Hawk,,,1968,,,,,,
ALL RIGHT PLEASE TELL,69,I,,,,,,,Independence Day,Ibex,Irish Terrier,,,,1969,,,,,,
ALL RIGHT THEN TRY,70,J,,,,,,,,Jaguar,Jack Russel,,,,1970,,,,,,
ALL RIGHT THEN CAN,71,K,,,,,,,Kwanzaa,Kangaroo,,Kingfisher,,,1971,,,,,,
ALL RIGHT THEN THINK,72,L,,,,,,,Labor Day,Lynx,Laplander,,,,1972,,,,,,
ALL RIGHT THEN GUESS,73,M,,,,,,,Mother's Day,Moose,Mastiff,Mallard,,,1973,,,,,,
ALL RIGHT THEN ARE,74,N,,,,,,,New Year,,Newfoundland,,,,1974,,,,,,
ALL RIGHT THEN GIVE,75,O,,,,,,,Oktoberfest,Octopus,,Owl,,,1975,,,,,,
ALL RIGHT THEN SAY,76,P,,,,,,,President's Day,Puma,Pointer,Prarie Chicken,,,1976,,,,,,
ALL RIGHT THEN NAME,77,Q,,,,,,,,,,Quail,,,1977,,,,,,
ALL RIGHT THEN SEE,78,R,,,,,,,Ramadan,Racoon,Retriever,Robin,,,1978,,,,,,
ALL RIGHT THEN TELL,79,S,,,,,,,Saint Patrick's Day,Seal,Spaniel,Sparrow,,,1979,,,,,,
NOW PLEASE TRY,80,T,,,,,,,Thanksgiving,Tiger,,Turkey,,,1980,,,,,,
NOW PLEASE CAN,81,U,,,,,,,,Unicorn,,,,,1981,,,,,,
NOW PLEASE THINK,82,V,,,,,,,Valentine's Day,Vole,,Vulture,,,1982,,,,,,
NOW PLEASE GUESS,83,W,,,,,,,Washington's Birthday,Wolf,Whippet,Woodpecker,,,1983,,,,,,
NOW PLEASE ARE,84,X,,,,,,,Christmas,,,,,,1984,,,,,,
NOW PLEASE GIVE,85,Y,,,,,,,Yum Kippur,Yak,,Yellow Warbler,,,1985,,,,,,
NOW PLEASE SAY,86,Z,,,,,,,,Zebra,,,,,1986,,,,,,
NOW PLEASE NAME,87,,,,,,,,,,,,,,1987,,,,,,
NOW PLEASE SEE,88,,,,,,,,,,,,,,1988,,,,,,
NOW PLEASE TELL,89,,,,,,,,,,,,,,1989,,,,,,
NOW THEN TRY,90,,,,,,,,,,,,,,1990,,,,,,
NOW THEN CAN,91,,,,,,,,,,,,,,1991,,,,,,
NOW THEN THINK,92,,,,,,,,,,,,,,1992,,,,,,
NOW THEN GUESS,93,,,,,,,,,,,,,,1993,,,,,,
NOW THEN ARE,94,,,,,,,,,,,,,,1994,,,,,,
NOW THEN GIVE,95,,,,,,,,,,,,,,1995,,,,,,
NOW THEN SAY,96,,,,,,,,,,,,,,1996,,,,,,
NOW THEN NAME,97,,,,,,,,,,,,,,1997,,,,,,
NOW THEN SEE,98,,,,,,,,,,,,,,1998,,,,,,
NOW THEN TELL,99,,,,,,,,,,,,,,1999,,,,,,
TRY,100,,Joker,,,,,,,,,,,,2000,grey,gold,dollar coin,$100 ,,
OKAY CAN,,,Ace of Clubs,,,,,,,,,,,,,,,,,,
OKAY THINK,,,Two of Clubs,,,,,,,,,,,,,,,,,,
OKAY GUESS,,,Three of Clubs,,,,,,,,,,,,,,,,,,
OKAY ARE,,,Four of Clubs,,,,,,,,,,,,,,,,,,
OKAY GIVE,,,Five of Clubs,,,,,,,,,,,,,,,,,,
OKAY SAY,,,Six of Clubs,,,,,,,,,,,,,,,,,,
OKAY NAME,,,Seven of Clubs,,,,,,,,,,,,,,,,,,
OKAY SEE,,,Eight of Clubs,,,,,,,,,,,,,,,,,,
OKAY TELL,,,Nine of Clubs,,,,,,,,,,,,,,,,,,
OKAY TRY,,,Ten of Clubs,,,,,,,,,,,,,,,,,,
OKAY WHAT,,,Jack of Clubs,,,,,,,,,,,,,,,,,,
OKAY DO,,,Queen of Clubs,,,,,,,,,,,,,,,,,,
OKAY COULD,,,King of Clubs,,,,,,,,,,,,,,,,,,
ALL RIGHT WHAT,,,Jack of Diamonds,,,,,,,,,,,,,,,,,,
ALL RIGHT DO,,,Queen of Diamonds,,,,,,,,,,,,,,,,,,
ALL RIGHT COULD,,,King of Diamonds,,,,,,,,,,,,,,,,,,
WELL WHAT,,,Jack of Spades,,,,,,,,,,,,,,,,,,
WELL DO,,,Queen of Spades,,,,,,,,,,,,,,,,,,
WELL COULD,,,King of Spades,,,,,,,,,,,,,,,,,,
COOL TRY,,,Ten of Hearts,,,,,,,,,,,,,,,,,,
COOL CAN,,,Ace of Hearts,,,,,,,,,,,,,,,,,,
COOL THINK,,,Two of Hearts,,,,,,,,,,,,,,,,,,
COOL GUESS,,,Three of Hearts,,,,,,,,,,,,,,,,,,
COOL ARE,,,Four of Hearts,,,,,,,,,,,,,,,,,,
COOL GIVE,,,Five of Hearts,,,,,,,,,,,,,,,,,,
COOL SAY,,,Six of Hearts,,,,,,,,,,,,,,,,,,
COOL NAME,,,Seven of Hearts,,,,,,,,,,,,,,,,,,
COOL SEE,,,Eight of Hearts,,,,,,,,,,,,,,,,,,
COOL TELL,,,Nine of Hearts,,,,,,,,,,,,,,,,,,
COOL WHAT,,,Jack of Hearts,,,,,,,,,,,,,,,,,,
COOL DO,,,Queen of Hearts,,,,,,,,,,,,,,,,,,
COOL COULD,,,King of Hearts,,,,,,,,,,,,,,,,,,
